4224315, 「ZEALER|Media 出品」Garmin fēnix 3 体验,2,6,26,11371
27599,哇~好灵活的手指啊~,34,27,212,44676
310873,【SLG MUGEN II】超级MUGEN大战@ 11,1,35,30,23585
314383,[神威han鬼鸣ser]捅花❤见证我们相识的一年❤,124,139,568,49109
292031,【SLG MUGEN】超级MUGEN大战·第二季·10,1,59,69,24957
3894108,【小缘X千石撫子】恋愛サーキュレーション,86,635,2493,110748
47102301,即将诞生的大制作，不进来看看么~,82,41,11,6067
48440058,新手如何成为up主，舰长教你用入门的剪辑软件,98,50,162,2672
226726,小缘翻唱-東京テディベア,74,331,1874,113242
195616,【小缘原创】ありがとう【小缘+H.K.君】,49,583,914,68081
202348,小缘翻唱-Zzz,52,158,467,35598
65101283,テロル/まふまふ【歌ってみた】,6581,7573,4588,35958
65101850,林檎花火とソーダの海 / まふまふ feat. IA,4047,4486,2684,9870
54003206,传统翘头万字不断头小条案第一集,190,171,87,9014
54148834,古人智慧 小板凳大手艺无钉无胶四腿八叉,78,43,36,5465
54248813,老活新作明清珍品梳头匣第四集,49,22,15,2211
54248848,老活新作明清珍品梳头匣第三集,38,24,8,1469
22778360,【英雄联盟】抗韩之火从未泯灭，LPL出征S7战歌,50,103,197,20029
23213915,【英雄联盟】《英雄联盟玩很6》骚猪深水“炸弹”！马老师被锤到头皮发麻，就是玩很6,5,4,6,1155
23535477,【英雄联盟】#2017全球总决赛# 抽签片头,5,8,13,1659
23566497,【英雄联盟】赛事-入侵杀器 Peanut小花生精彩TOP20,10,16,26,1717
280356,【Fate/Zero X 搞笑日和】剑圣Saber--新增中配版,747,849,2957,301557
12463868,低热量，看缘分，有灵魂的沙拉,6847,5208,3500,429116
12515116,一分钟学会：颜值爆表！逼格超高的云朵蛋！！,5807,3371,5833,580051
12685815,番外·基友来我家,3988,1970,1026,371008
25081146,【科普】听说你是晚期拖延症患者，不要放弃治疗！,80,43,43,4460
25661760,30秒懂热词：打call到底什么鬼？,22,7,7,1711
25668868,为什么你很努力却总是不如别人,28,11,18,1957
27882630,“撕点”什么意思？当撕变成了争吵的代名词,12,2,0,388
27173598,空巢老人将达1.18亿！关爱空巢老人是每个子女义不容的责任,9,5,11,624
1813754,慎入，世界三大禁曲！,128,247,2794,162460
1683509,Chimera君大战miku,113,589,299,117908
